# source: REQUEST-920-PROTOCOL-ENFORCEMENT.conf	(regenerate: python .claude/skills/crs-retrieve-analyze/tools/build_rule_index.py)
id	file	line	phase	pl	variables	operator	transforms	chain	severity	tags	msg
920100	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	53	1	1	REQUEST_LINE	!@rx	none	0	WARNING	application-multi language-multi platform-multi attack-protocol	Invalid HTTP Request Line
920120	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	109	2	1	FILES|FILES_NAMES	!@rx	none,urlDecodeUni	0	CRITICAL	application-multi language-multi platform-multi attack-protocol	Attempted multipart/form-data bypass
920160	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	139	1	1	REQUEST_HEADERS:Content-Length	!@rx	none	0	CRITICAL	application-multi language-multi platform-multi attack-protocol	Content-Length HTTP header is not numeric
920170	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	174	1	1	REQUEST_METHOD	@rx	none	1	CRITICAL	application-multi language-multi platform-multi attack-protocol	GET or HEAD Request with Body Content
920171	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	200	1	1	REQUEST_METHOD	@rx	none	1	CRITICAL	application-multi language-multi platform-multi attack-protocol	GET or HEAD Request with Transfer-Encoding
920180	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	241	1	1	REQUEST_PROTOCOL	!@within	none	1	WARNING	application-multi language-multi platform-multi attack-protocol	POST without Content-Length and Transfer-Encoding headers
920181	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	273	1	1	&REQUEST_HEADERS:Transfer-Encoding	!@eq	none	1	WARNING	application-multi language-multi platform-multi attack-protocol	Content-Length and Transfer-Encoding headers present
920190	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	310	1	1	REQUEST_HEADERS:Range	@rx	none	1	WARNING	application-multi language-multi platform-multi attack-protocol	Range: Invalid Last Byte Value
920660	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	356	1	1	&REQUEST_HEADERS:Request-Range	@gt	none	0	WARNING	application-multi language-multi platform-multi attack-protocol	Obsolete Request-Range header detected
920210	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	386	1	1	REQUEST_HEADERS:Connection	@rx	none	0	WARNING	application-multi language-multi platform-multi attack-protocol	Multiple/Conflicting Connection Header Data Found
920250	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	415	2	1	TX:CRS_VALIDATE_UTF8_ENCODING	@eq	none	1	WARNING	application-multi language-multi platform-multi attack-protocol	UTF8 Encoding Abuse Attack Attempt
920260	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	459	2	1	REQUEST_URI|REQUEST_BODY	@rx	none	0	WARNING	application-multi language-multi platform-iis platform-windows attack-protocol	Unicode Full/Half Width Abuse Attack Attempt
920270	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	517	2	1	REQUEST_URI_RAW|REQUEST_HEADERS|ARGS|ARGS_NAMES	@validateByteRange	none,urlDecodeUni	0	CRITICAL	application-multi language-multi platform-multi attack-protocol	Invalid character in request (null character)
920290	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	570	1	1	REQUEST_HEADERS:Host	@rx	none	0	CRITICAL	application-multi language-multi platform-multi attack-protocol	Empty Host Header
920310	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	611	1	1	REQUEST_HEADERS:Accept	@rx	none	1	NOTICE	application-multi language-multi platform-multi attack-protocol	Request Has an Empty Accept Header
920311	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	637	1	1	REQUEST_HEADERS:Accept	@rx	none	1	NOTICE	application-multi language-multi platform-multi attack-protocol	Request Has an Empty Accept Header
920330	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	671	1	1	REQUEST_HEADERS:User-Agent	@rx	none	0	NOTICE	application-multi language-multi platform-multi attack-protocol	Empty User Agent Header
920340	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	713	1	1	REQUEST_HEADERS:Content-Length	!@rx	none	1	CRITICAL	application-multi language-multi platform-multi attack-protocol	Content-Type header missing from request with non-zero Content-Length
920350	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	757	1	1	REQUEST_HEADERS:Host	@rx	none	0	WARNING	application-multi language-multi platform-multi attack-protocol	Host header is a numeric IP address
920380	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	790	2	1	&TX:MAX_NUM_ARGS	@eq	none	1	CRITICAL	application-multi language-multi platform-multi attack-protocol	Too many arguments in request
920360	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	816	2	1	&TX:ARG_NAME_LENGTH	@eq	none	1	CRITICAL	application-multi language-multi platform-multi attack-protocol	Argument name too long
920370	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	844	2	1	&TX:ARG_LENGTH	@eq	none	1	CRITICAL	application-multi language-multi platform-multi attack-protocol	Argument value too long
920390	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	869	2	1	&TX:TOTAL_ARG_LENGTH	@eq	none	1	CRITICAL	application-multi language-multi platform-multi attack-protocol	Total arguments size exceeded
920400	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	896	1	1	&TX:MAX_FILE_SIZE	@eq	none	1	CRITICAL	application-multi language-multi platform-multi attack-protocol	Uploaded file size too large
920410	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	922	2	1	&TX:COMBINED_FILE_SIZES	@eq	none	1	CRITICAL	application-multi language-multi platform-multi attack-protocol	Total uploaded files size too large
920470	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	962	1	1	REQUEST_HEADERS:Content-Type	!@rx	none,lowercase	0	CRITICAL	application-multi language-multi platform-multi attack-protocol	Illegal Content-Type header
920420	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	984	1	1	REQUEST_HEADERS:Content-Type	@rx	none	1	CRITICAL	application-multi language-multi platform-multi attack-protocol	Request content type is not allowed by policy
920480	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	1012	1	1	REQUEST_HEADERS:Content-Type	@rx	none	1	CRITICAL	application-multi language-multi platform-multi attack-protocol	Request content type charset is not allowed by policy
920530	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	1040	1	1	REQUEST_HEADERS:Content-Type	@rx	none,lowercase	0	CRITICAL	application-multi language-multi platform-multi attack-protocol	Multiple charsets detected in content type header
920640	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	1082	2	1	REQUEST_BODY_LENGTH	@gt	none	1	CRITICAL	application-multi language-multi platform-multi attack-protocol	Content-Type header missing from request with body
920430	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	1106	1	1	REQUEST_PROTOCOL	!@within	none	0	CRITICAL	application-multi language-multi platform-multi attack-protocol	HTTP protocol version is not allowed by policy
920440	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	1128	1	1	REQUEST_BASENAME	@rx	none,urlDecodeUni	1	CRITICAL	application-multi language-multi platform-multi attack-protocol	URL file extension is restricted by policy
920500	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	1156	1	1	REQUEST_FILENAME	@rx	none,urlDecodeUni	0	CRITICAL	application-multi language-multi platform-multi attack-protocol	Attempt to access a backup or working file
920450	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	1210	1	1	REQUEST_HEADERS_NAMES	@rx	none,lowercase	1	CRITICAL	application-multi language-multi platform-multi attack-protocol	HTTP header is restricted by policy (%{MATCHED_VAR})
920520	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	1245	1	1	REQUEST_HEADERS:Accept-Encoding	@gt	none,lowercase,length	0	CRITICAL	application-multi language-multi platform-multi attack-protocol	Accept-Encoding header exceeded sensible length
920600	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	1279	1	1	REQUEST_HEADERS:Accept	!@rx	none,lowercase	0	CRITICAL	application-multi language-multi platform-multi attack-protocol	Illegal Accept header: charset parameter
920540	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	1302	2	1	REQBODY_PROCESSOR	!@streq	none	1	CRITICAL	application-multi language-multi platform-multi attack-protocol	Possible Unicode character bypass detected
920610	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	1328	1	1	REQUEST_URI_RAW	@contains	none	0	CRITICAL	application-multi language-multi platform-multi attack-protocol	Raw (unencoded) fragment in request URI
920620	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	1361	1	1	&REQUEST_HEADERS:Content-Type	@gt	none	0	CRITICAL	application-multi language-multi platform-multi attack-protocol	Multiple Content-Type Request Headers
920200	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	1406	1	2	REQUEST_HEADERS:Range	@rx	none	1	WARNING	application-multi language-multi platform-multi attack-protocol	Range: Too many fields (6 or more)
920201	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	1431	1	2	REQUEST_BASENAME	@endsWith	none,urlDecodeUni	1	WARNING	application-multi language-multi platform-multi attack-protocol	Range: Too many fields for pdf request (63 or more)
920230	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	1453	2	2	ARGS	@rx	none	0	WARNING	application-multi language-multi platform-multi attack-protocol	Multiple URL Encoding Detected
920271	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	1476	2	2	REQUEST_URI_RAW|REQUEST_HEADERS|ARGS|ARGS_NAMES	@validateByteRange	none,urlDecodeUni	0	CRITICAL	application-multi language-multi platform-multi attack-protocol	Invalid character in request (non printable characters)
920320	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	1504	1	2	&REQUEST_HEADERS:User-Agent	@eq	none	0	NOTICE	application-multi language-multi platform-multi attack-protocol	Missing User Agent Header
920121	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	1526	2	2	FILES_NAMES|FILES	@rx	none,urlDecodeUni	0	CRITICAL	application-multi language-multi platform-multi attack-protocol	Attempted multipart/form-data bypass
920451	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	1548	1	2	REQUEST_HEADERS_NAMES	@rx	none,lowercase	1	CRITICAL	application-multi language-multi platform-multi attack-protocol	HTTP header is restricted by policy (%{MATCHED_VAR})
920240	REQUEST-920-PROTOCOL-ENFORCEMENT.conf	1578	2	2	REQUEST_HEADERS:Content-Type	@rx	none	1	WARNING	application-multi language-multi platform-multi attack-protocol	URL Encoding Abuse Attack Attempt
