# source: REQUEST-932-APPLICATION-ATTACK-RCE.conf	(regenerate: python .claude/skills/crs-retrieve-analyze/tools/build_rule_index.py)
id	file	line	phase	pl	variables	operator	transforms	chain	severity	tags	msg
932230	REQUEST-932-APPLICATION-ATTACK-RCE.conf	124	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|XML:/*	@rx	none	0	CRITICAL	application-multi language-shell platform-unix attack-rce	Remote Command Execution: Unix Command Injection (2-3 chars)
932235	REQUEST-932-APPLICATION-ATTACK-RCE.conf	186	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|XML:/*	@rx	none	0	CRITICAL	application-multi language-shell platform-unix attack-rce	Remote Command Execution: Unix Command Injection (command without evasion)
932120	REQUEST-932-APPLICATION-ATTACK-RCE.conf	218	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|XML:/*	@pmFromFile:windows-powershell-commands.data	none,cmdLine	0	CRITICAL	application-multi language-shell language-powershell platform-windows attack-rce	Remote Command Execution: Windows PowerShell Command Found
932125	REQUEST-932-APPLICATION-ATTACK-RCE.conf	253	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|XML:/*	@rx	none	0	CRITICAL	application-multi language-shell platform-windows attack-rce	Remote Command Execution: Windows Powershell Alias Command Injection
932130	REQUEST-932-APPLICATION-ATTACK-RCE.conf	297	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|XML:/*	@rx	none,cmdLine	0	CRITICAL	application-multi language-shell platform-unix attack-rce	Remote Command Execution: Unix Shell Expression Found
932140	REQUEST-932-APPLICATION-ATTACK-RCE.conf	344	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|XML:/*	@rx	none,cmdLine	0	CRITICAL	application-multi language-shell platform-windows attack-rce	Remote Command Execution: Windows FOR/IF Command Found
932270	REQUEST-932-APPLICATION-ATTACK-RCE.conf	384	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|XML:/*	@rx	none,cmdLine	0	CRITICAL	application-multi language-shell platform-unix attack-rce	Remote Command Execution: Unix Shell Expression Found
932280	REQUEST-932-APPLICATION-ATTACK-RCE.conf	418	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|XML:/*	@rx	none	0	CRITICAL	application-multi language-shell platform-unix attack-rce	Remote Command Execution: Brace Expansion Found
932250	REQUEST-932-APPLICATION-ATTACK-RCE.conf	501	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|XML:/*	@rx	none	0	CRITICAL	application-multi language-shell platform-unix attack-rce	Remote Command Execution: Direct Unix Command Execution
932260	REQUEST-932-APPLICATION-ATTACK-RCE.conf	562	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|XML:/*	@rx	none	0	CRITICAL	application-multi language-shell platform-unix attack-rce	Remote Command Execution: Direct Unix Command Execution
932340	REQUEST-932-APPLICATION-ATTACK-RCE.conf	624	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|REQUEST_HEADERS:User-Agent|REQUEST_HEADERS:Referer|ARGS_NAMES|ARGS|XML:/*	@rx	none	0	CRITICAL	application-multi language-shell platform-unix attack-rce	Remote Command Execution: Direct Unix Command Execution (No Arguments)
932330	REQUEST-932-APPLICATION-ATTACK-RCE.conf	660	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|XML:/*	@rx	none	0	CRITICAL	application-multi language-shell platform-unix attack-rce	Remote Command Execution: Unix shell history invocation
932160	REQUEST-932-APPLICATION-ATTACK-RCE.conf	701	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|XML:/*	@pmFromFile:unix-shell.data	none,cmdLine,normalizePath	0	CRITICAL	application-multi language-shell platform-unix attack-rce	Remote Command Execution: Unix Shell Code Found
932170	REQUEST-932-APPLICATION-ATTACK-RCE.conf	732	1	1	REQUEST_HEADERS|REQUEST_LINE	@rx	none,urlDecodeUni	0	CRITICAL	application-multi language-shell platform-unix attack-rce	Remote Command Execution: Shellshock (CVE-2014-6271)
932171	REQUEST-932-APPLICATION-ATTACK-RCE.conf	753	2	1	ARGS_NAMES|ARGS|FILES_NAMES	@rx	none,urlDecodeUni	0	CRITICAL	application-multi language-shell platform-unix attack-rce	Remote Command Execution: Shellshock (CVE-2014-6271)
