# source: REQUEST-933-APPLICATION-ATTACK-PHP.conf	(regenerate: python .claude/skills/crs-retrieve-analyze/tools/build_rule_index.py)
id	file	line	phase	pl	variables	operator	transforms	chain	severity	tags	msg
933100	REQUEST-933-APPLICATION-ATTACK-PHP.conf	48	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|XML:/*	@rx	none	0	CRITICAL	application-multi language-php platform-multi attack-injection-php	PHP Injection Attack: PHP Open Tag Found
933110	REQUEST-933-APPLICATION-ATTACK-PHP.conf	90	2	1	FILES|REQUEST_HEADERS:X-Filename|REQUEST_HEADERS:X_Filename|REQUEST_HEADERS:X.Filename|REQUEST_HEADERS:X-File-Name	@rx	none,lowercase	0	CRITICAL	application-multi language-php platform-multi attack-injection-php	PHP Injection Attack: PHP Script File Upload Found
933120	REQUEST-933-APPLICATION-ATTACK-PHP.conf	120	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|XML:/*	@rx	none,normalizePath	0	CRITICAL	application-multi language-php platform-multi attack-injection-php	PHP Injection Attack: Configuration Directive Found
933130	REQUEST-933-APPLICATION-ATTACK-PHP.conf	145	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|XML:/*	@pmFromFile:php-variables.data	none,normalizePath,urlDecodeUni	0	CRITICAL	application-multi language-php platform-multi attack-injection-php	PHP Injection Attack: Variables Found
933135	REQUEST-933-APPLICATION-ATTACK-PHP.conf	177	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|REQUEST_FILENAME|ARGS_NAMES|ARGS|XML:/*	@rx	none	0	CRITICAL	application-multi language-php platform-multi attack-injection-php	PHP Injection Attack: Variable Access Found
933140	REQUEST-933-APPLICATION-ATTACK-PHP.conf	214	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|XML:/*	@rx	none	0	CRITICAL	application-multi language-php platform-multi attack-injection-php	PHP Injection Attack: I/O Stream Found
933200	REQUEST-933-APPLICATION-ATTACK-PHP.conf	252	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|XML:/*	@rx	none,utf8toUnicode,urlDecodeUni,removeNulls,cmdLine	0	CRITICAL	application-multi language-php platform-multi attack-injection-php	PHP Injection Attack: Wrapper scheme detected
933150	REQUEST-933-APPLICATION-ATTACK-PHP.conf	321	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|REQUEST_FILENAME|ARGS_NAMES|ARGS|XML:/*	@pmFromFile:php-function-names-933150.data	none	1	CRITICAL	application-multi language-php platform-multi attack-injection-php	PHP Injection Attack: High-Risk PHP Function Name Found
933160	REQUEST-933-APPLICATION-ATTACK-PHP.conf	377	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|REQUEST_FILENAME|ARGS_NAMES|ARGS|XML:/*	@rx	none	0	CRITICAL	application-multi language-php platform-multi attack-injection-php	PHP Injection Attack: High-Risk PHP Function Call Found
933170	REQUEST-933-APPLICATION-ATTACK-PHP.conf	433	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|REQUEST_HEADERS|ARGS_NAMES|ARGS|XML:/*	@rx	none	0	CRITICAL	application-multi language-php platform-multi attack-injection-php	PHP Injection Attack: Serialized Object Injection
933180	REQUEST-933-APPLICATION-ATTACK-PHP.conf	489	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|REQUEST_FILENAME|ARGS_NAMES|ARGS|XML:/*	@rx	none	0	CRITICAL	application-multi language-php platform-multi attack-injection-php	PHP Injection Attack: Variable Function Call Found
933210	REQUEST-933-APPLICATION-ATTACK-PHP.conf	537	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|REQUEST_FILENAME|ARGS_NAMES|ARGS|XML:/*	@rx	none,urlDecodeUni,replaceComments,removeWhitespace	0	CRITICAL	application-multi language-php platform-multi attack-injection-php	PHP Injection Attack: Variable Function Call Found
933220	REQUEST-933-APPLICATION-ATTACK-PHP.conf	595	2	1	FILES|FILES_NAMES|REQUEST_HEADERS:X-Filename|REQUEST_HEADERS:X_Filename|REQUEST_HEADERS:X.Filename|REQUEST_HEADERS:X-File-Name	@rx	none,lowercase	0	CRITICAL	application-multi language-php platform-multi attack-injection-php	PHP Injection Attack: PHP Session File Upload Attempt
933151	REQUEST-933-APPLICATION-ATTACK-PHP.conf	646	2	2	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|REQUEST_FILENAME|ARGS_NAMES|ARGS|XML:/*	@rx	none	0	CRITICAL	application-multi language-php platform-multi attack-injection-php	PHP Injection Attack: Medium-Risk PHP Function Name Found
933152	REQUEST-933-APPLICATION-ATTACK-PHP.conf	674	2	2	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|REQUEST_FILENAME|ARGS_NAMES|ARGS|XML:/*	@rx	none	0	CRITICAL	application-multi language-php platform-multi attack-injection-php	PHP Injection Attack: Medium-Risk PHP Function Name Found
933153	REQUEST-933-APPLICATION-ATTACK-PHP.conf	702	2	2	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|REQUEST_FILENAME|ARGS_NAMES|ARGS|XML:/*	@rx	none	0	CRITICAL	application-multi language-php platform-multi attack-injection-php	PHP Injection Attack: Medium-Risk PHP Function Name Found
933131	REQUEST-933-APPLICATION-ATTACK-PHP.conf	752	2	3	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|XML:/*	@rx	none,normalizePath,urlDecodeUni	0	CRITICAL	application-multi language-php platform-multi attack-injection-php	PHP Injection Attack: Variables Found
933161	REQUEST-933-APPLICATION-ATTACK-PHP.conf	797	2	3	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|REQUEST_FILENAME|ARGS_NAMES|ARGS|XML:/*	@rx	none	0	CRITICAL	application-multi language-php platform-multi attack-injection-php	PHP Injection Attack: Low-Value PHP Function Call Found
933111	REQUEST-933-APPLICATION-ATTACK-PHP.conf	840	2	3	FILES|REQUEST_HEADERS:X-Filename|REQUEST_HEADERS:X_Filename|REQUEST_HEADERS:X.Filename|REQUEST_HEADERS:X-File-Name	@rx	none,lowercase	0	CRITICAL	application-multi language-php platform-multi attack-injection-php	PHP Injection Attack: PHP Script File Upload Found
933190	REQUEST-933-APPLICATION-ATTACK-PHP.conf	870	2	3	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|XML:/*	@pm	none,urlDecodeUni	0	CRITICAL	application-multi language-php platform-multi attack-injection-php	PHP Injection Attack: PHP Closing Tag Found
933211	REQUEST-933-APPLICATION-ATTACK-PHP.conf	906	2	3	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|REQUEST_FILENAME|ARGS_NAMES|ARGS|XML:/*	@rx	none,urlDecodeUni,replaceComments,removeWhitespace	0	CRITICAL	application-multi language-php platform-multi attack-injection-php	PHP Injection Attack: Variable Function Call Found
