# source: REQUEST-934-APPLICATION-ATTACK-GENERIC.conf	(regenerate: python .claude/skills/crs-retrieve-analyze/tools/build_rule_index.py)
id	file	line	phase	pl	variables	operator	transforms	chain	severity	tags	msg
934100	REQUEST-934-APPLICATION-ATTACK-GENERIC.conf	52	2	1	REQUEST_FILENAME|REQUEST_COOKIES|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|XML:/*	@rx	none,urlDecodeUni,jsDecode,removeWhitespace,base64Decode	0	CRITICAL	application-multi language-javascript platform-multi platform-nodejs attack-rce attack-injection-generic	Node.js Injection Attack 1/2
934110	REQUEST-934-APPLICATION-ATTACK-GENERIC.conf	90	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|REQUEST_FILENAME|ARGS_NAMES|ARGS|XML:/*	@pmFromFile:ssrf.data	none	0	CRITICAL	application-multi language-multi platform-multi attack-ssrf	Possible Server Side Request Forgery (SSRF) Attack: Cloud provider metadata URL in Parameter
934190	REQUEST-934-APPLICATION-ATTACK-GENERIC.conf	119	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|REQUEST_FILENAME|ARGS_NAMES|ARGS|XML:/*	@pmFromFile:ssrf-no-scheme.data	none	0	CRITICAL	application-multi language-multi platform-multi attack-ssrf	Possible Server Side Request Forgery (SSRF) Attack: Scheme-less localhost or internal hostname detected
934130	REQUEST-934-APPLICATION-ATTACK-GENERIC.conf	153	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|XML:/*	@rx	none,urlDecodeUni,jsDecode	0	CRITICAL	application-multi language-javascript platform-multi attack-rce attack-injection-generic	JavaScript Prototype Pollution
934150	REQUEST-934-APPLICATION-ATTACK-GENERIC.conf	186	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|XML:/*	@rx	none	0	CRITICAL	application-multi language-ruby platform-multi attack-rce attack-injection-generic	Ruby Injection Attack
934160	REQUEST-934-APPLICATION-ATTACK-GENERIC.conf	218	2	1	REQUEST_FILENAME|REQUEST_COOKIES|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|XML:/*	@rx	none,urlDecodeUni,jsDecode,base64Decode,replaceComments	0	CRITICAL	application-multi language-javascript platform-nodejs attack-rce attack-injection-generic	Node.js DoS attack
934170	REQUEST-934-APPLICATION-ATTACK-GENERIC.conf	250	2	1	REQUEST_FILENAME|REQUEST_COOKIES|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|XML:/*	@rx	none,urlDecodeUni	0	CRITICAL	application-multi language-php platform-multi attack-ssrf	PHP data scheme attack
934101	REQUEST-934-APPLICATION-ATTACK-GENERIC.conf	278	2	2	REQUEST_FILENAME|REQUEST_COOKIES|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|XML:/*	@rx	none,urlDecodeUni,jsDecode,base64Decode	0	CRITICAL	application-multi language-javascript platform-nodejs attack-rce attack-injection-generic	Node.js Injection Attack 2/2
934120	REQUEST-934-APPLICATION-ATTACK-GENERIC.conf	332	2	2	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|REQUEST_FILENAME|ARGS_NAMES|ARGS|XML:/*	@rx	none	0	CRITICAL	application-multi language-multi platform-multi attack-ssrf	Possible Server Side Request Forgery (SSRF) Attack: URL Parameter using IP Address
934140	REQUEST-934-APPLICATION-ATTACK-GENERIC.conf	364	2	2	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|XML:/*	@rx	none	0	CRITICAL	application-multi language-perl platform-multi attack-rce attack-injection-generic	Perl Injection Attack
934180	REQUEST-934-APPLICATION-ATTACK-GENERIC.conf	393	2	2	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|XML:/*	@rx	none	0	CRITICAL	application-multi platform-multi attack-ssti attack-injection-generic	SSTI Attack
