# source: REQUEST-941-APPLICATION-ATTACK-XSS.conf	(regenerate: python .claude/skills/crs-retrieve-analyze/tools/build_rule_index.py)
id	file	line	phase	pl	variables	operator	transforms	chain	severity	tags	msg
941100	REQUEST-941-APPLICATION-ATTACK-XSS.conf	83	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|REQUEST_HEADERS:User-Agent|ARGS_NAMES|ARGS|XML:/*	@detectXSS	none,utf8toUnicode,urlDecodeUni,htmlEntityDecode,jsDecode,cssDecode,removeNulls	0	CRITICAL	application-multi language-multi platform-multi attack-xss	XSS Attack Detected via libinjection
941110	REQUEST-941-APPLICATION-ATTACK-XSS.conf	110	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|REQUEST_FILENAME|REQUEST_HEADERS|!REQUEST_HEADERS:Cookie|ARGS_NAMES|ARGS|XML:/*	@rx	none,utf8toUnicode,urlDecodeUni,htmlEntityDecode,jsDecode,cssDecode,removeNulls	0	CRITICAL	application-multi language-multi platform-multi attack-xss	XSS Filter - Category 1: Script Tag Vector
941120	REQUEST-941-APPLICATION-ATTACK-XSS.conf	148	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|REQUEST_HEADERS|!REQUEST_HEADERS:Cookie|ARGS_NAMES|ARGS|REQUEST_FILENAME|XML:/*	@rx	none,utf8toUnicode,urlDecodeUni,htmlEntityDecode,jsDecode,cssDecode,removeNulls	0	CRITICAL	application-multi language-multi platform-multi attack-xss	XSS Filter - Category 2: Event Handler Vector
941130	REQUEST-941-APPLICATION-ATTACK-XSS.conf	179	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|REQUEST_HEADERS:User-Agent|ARGS_NAMES|ARGS|REQUEST_FILENAME|XML:/*	@rx	none,utf8toUnicode,urlDecodeUni,htmlEntityDecode,jsDecode,cssDecode,removeNulls	0	CRITICAL	application-multi language-multi platform-multi attack-xss	XSS Filter - Category 3: Attribute Vector
941140	REQUEST-941-APPLICATION-ATTACK-XSS.conf	209	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|REQUEST_HEADERS:User-Agent|REQUEST_HEADERS:Referer|ARGS_NAMES|ARGS|REQUEST_FILENAME|XML:/*	@rx	none,utf8toUnicode,urlDecodeUni,htmlEntityDecode,jsDecode,cssDecode,removeNulls,removeWhitespace	0	CRITICAL	application-multi language-multi platform-multi attack-xss	XSS Filter - Category 4: Javascript URI Vector
941160	REQUEST-941-APPLICATION-ATTACK-XSS.conf	243	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|REQUEST_HEADERS:User-Agent|REQUEST_HEADERS:Referer|ARGS_NAMES|ARGS|REQUEST_FILENAME|XML:/*	@rx	none,utf8toUnicode,urlDecodeUni,htmlEntityDecode,jsDecode,cssDecode,removeNulls	0	CRITICAL	application-multi language-multi platform-multi attack-xss	NoScript XSS InjectionChecker: HTML Injection
941170	REQUEST-941-APPLICATION-ATTACK-XSS.conf	269	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|REQUEST_HEADERS:User-Agent|REQUEST_HEADERS:Referer|ARGS_NAMES|ARGS|REQUEST_FILENAME|XML:/*	@rx	none,utf8toUnicode,urlDecodeUni,htmlEntityDecode,jsDecode,cssDecode,removeNulls	0	CRITICAL	application-multi language-multi platform-multi attack-xss	NoScript XSS InjectionChecker: Attribute Injection
941180	REQUEST-941-APPLICATION-ATTACK-XSS.conf	297	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|REQUEST_FILENAME|XML:/*	@pm	none,utf8toUnicode,urlDecodeUni,htmlEntityDecode,jsDecode,cssDecode,removeNulls	0	CRITICAL	application-multi language-multi platform-nodejs attack-xss	Node-Validator Deny List Keywords
941190	REQUEST-941-APPLICATION-ATTACK-XSS.conf	330	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|REQUEST_FILENAME|XML:/*	@rx	none,utf8toUnicode,urlDecodeUni,htmlEntityDecode,jsDecode,cssDecode,removeNulls	0	CRITICAL	application-multi language-multi platform-internet-explorer attack-xss	IE XSS Filters - Attack Detected
941200	REQUEST-941-APPLICATION-ATTACK-XSS.conf	353	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|REQUEST_FILENAME|XML:/*	@rx	none,utf8toUnicode,urlDecodeUni,htmlEntityDecode,jsDecode,cssDecode,removeNulls	0	CRITICAL	application-multi language-multi platform-internet-explorer attack-xss	IE XSS Filters - Attack Detected
941210	REQUEST-941-APPLICATION-ATTACK-XSS.conf	378	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|REQUEST_FILENAME|XML:/*	@rx	none,utf8toUnicode,urlDecodeUni,htmlEntityDecode,jsDecode,cssDecode,removeNulls	0	CRITICAL	application-multi language-multi platform-internet-explorer attack-xss	Javascript Word Detected
941220	REQUEST-941-APPLICATION-ATTACK-XSS.conf	401	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|REQUEST_FILENAME|XML:/*	@rx	none,utf8toUnicode,urlDecodeUni,htmlEntityDecode,jsDecode,cssDecode,removeNulls	0	CRITICAL	application-multi language-multi platform-internet-explorer attack-xss	IE XSS Filters - Attack Detected
