# source: REQUEST-942-APPLICATION-ATTACK-SQLI.conf	(regenerate: python .claude/skills/crs-retrieve-analyze/tools/build_rule_index.py)
id	file	line	phase	pl	variables	operator	transforms	chain	severity	tags	msg
942100	REQUEST-942-APPLICATION-ATTACK-SQLI.conf	46	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|REQUEST_HEADERS:User-Agent|REQUEST_HEADERS:Referer|ARGS_NAMES|ARGS|XML:/*	@detectSQLi	none,utf8toUnicode,urlDecodeUni,removeNulls	0	CRITICAL	application-multi language-multi platform-multi attack-sqli	SQL Injection Attack Detected via libinjection
942140	REQUEST-942-APPLICATION-ATTACK-SQLI.conf	77	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|XML:/*	@rx	none,urlDecodeUni	0	CRITICAL	application-multi language-multi platform-multi attack-sqli	SQL Injection Attack: Common DB Names Detected
942151	REQUEST-942-APPLICATION-ATTACK-SQLI.conf	110	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|XML:/*	@rx	none,urlDecodeUni	0	CRITICAL	application-multi language-multi platform-multi attack-sqli	SQL Injection Attack: SQL function name detected
942160	REQUEST-942-APPLICATION-ATTACK-SQLI.conf	154	2	1	REQUEST_FILENAME|REQUEST_COOKIES|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|XML:/*	@rx	none,urlDecodeUni,replaceComments	0	CRITICAL	application-multi language-multi platform-multi attack-sqli	Detects blind sqli tests using sleep() or benchmark()
942170	REQUEST-942-APPLICATION-ATTACK-SQLI.conf	180	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|XML:/*	@rx	none,urlDecodeUni	0	CRITICAL	application-multi language-multi platform-multi attack-sqli	Detects SQL benchmark and sleep injection attempts including conditional queries
942190	REQUEST-942-APPLICATION-ATTACK-SQLI.conf	206	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|XML:/*	@rx	none,urlDecodeUni,removeCommentsChar	0	CRITICAL	application-multi language-multi platform-multi attack-sqli	Detects MSSQL code execution and information gathering attempts
942220	REQUEST-942-APPLICATION-ATTACK-SQLI.conf	230	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|XML:/*	@rx	none,urlDecodeUni	0	CRITICAL	application-multi language-multi platform-multi attack-sqli	Looking for integer overflow attacks, these are taken from skipfish, except 2.2.2250738585072011e-308 is the \"magic number\" crash
942230	REQUEST-942-APPLICATION-ATTACK-SQLI.conf	256	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|XML:/*	@rx	none,urlDecodeUni	0	CRITICAL	application-multi language-multi platform-multi attack-sqli	Detects conditional SQL injection attempts
942240	REQUEST-942-APPLICATION-ATTACK-SQLI.conf	282	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|XML:/*	@rx	none,urlDecodeUni	0	CRITICAL	application-multi language-multi platform-multi attack-sqli	Detects MySQL charset switch and MSSQL DoS attempts
942250	REQUEST-942-APPLICATION-ATTACK-SQLI.conf	308	2	1	REQUEST_COOKIES|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|XML:/*	@rx	none,urlDecodeUni	0	CRITICAL	application-multi language-multi platform-multi attack-sqli	Detects MATCH AGAINST, MERGE and EXECUTE IMMEDIATE injections
