# source: REQUEST-944-APPLICATION-ATTACK-JAVA.conf	(regenerate: python .claude/skills/crs-retrieve-analyze/tools/build_rule_index.py)
id	file	line	phase	pl	variables	operator	transforms	chain	severity	tags	msg
944100	REQUEST-944-APPLICATION-ATTACK-JAVA.conf	33	2	1	ARGS|ARGS_NAMES|REQUEST_COOKIES|REQUEST_COOKIES_NAMES|REQUEST_BODY|REQUEST_HEADERS|XML:/*|XML://@*	@rx	none,lowercase	0	CRITICAL	application-multi language-java platform-multi attack-rce	Remote Command Execution: Suspicious Java class detected
944110	REQUEST-944-APPLICATION-ATTACK-JAVA.conf	66	2	1	ARGS|ARGS_NAMES|REQUEST_COOKIES|REQUEST_COOKIES_NAMES|REQUEST_BODY|REQUEST_HEADERS|XML:/*|XML://@*	@rx	none,lowercase	1	CRITICAL	application-multi language-java platform-multi attack-rce	Remote Command Execution: Java process spawn (CVE-2017-9805)
944120	REQUEST-944-APPLICATION-ATTACK-JAVA.conf	95	2	1	ARGS|ARGS_NAMES|REQUEST_COOKIES|REQUEST_COOKIES_NAMES|REQUEST_BODY|REQUEST_HEADERS|XML:/*|XML://@*	@rx	none,lowercase	1	CRITICAL	application-multi language-java platform-multi attack-rce	Remote Command Execution: Java serialization (CVE-2015-4852)
944130	REQUEST-944-APPLICATION-ATTACK-JAVA.conf	127	2	1	ARGS|ARGS_NAMES|REQUEST_COOKIES|REQUEST_COOKIES_NAMES|REQUEST_BODY|REQUEST_FILENAME|REQUEST_HEADERS|XML:/*|XML://@*	@pmFromFile:java-classes.data	none	0	CRITICAL	application-multi language-java platform-multi attack-rce	Suspicious Java class detected
944140	REQUEST-944-APPLICATION-ATTACK-JAVA.conf	166	2	1	FILES|REQUEST_HEADERS:X-Filename|REQUEST_HEADERS:X_Filename|REQUEST_HEADERS:X.Filename|REQUEST_HEADERS:X-File-Name	@rx	none,lowercase	0	CRITICAL	application-multi language-java platform-multi attack-injection-java	Java Injection Attack: Java Script File Upload Found
944150	REQUEST-944-APPLICATION-ATTACK-JAVA.conf	215	2	1	REQUEST_LINE|ARGS|ARGS_NAMES|REQUEST_COOKIES|REQUEST_COOKIES_NAMES|REQUEST_HEADERS|XML:/*|XML://@*	@rx	none,urlDecodeUni,jsDecode,htmlEntityDecode	0	CRITICAL	application-multi language-java platform-multi attack-rce	Potential Remote Command Execution: Log4j / Log4shell
944151	REQUEST-944-APPLICATION-ATTACK-JAVA.conf	253	2	2	REQUEST_LINE|ARGS|ARGS_NAMES|REQUEST_COOKIES|REQUEST_COOKIES_NAMES|REQUEST_HEADERS|XML:/*|XML://@*	@rx	none,urlDecodeUni,jsDecode,htmlEntityDecode	0	CRITICAL	application-multi language-java platform-multi attack-rce	Potential Remote Command Execution: Log4j / Log4shell
944200	REQUEST-944-APPLICATION-ATTACK-JAVA.conf	285	2	2	ARGS|ARGS_NAMES|REQUEST_COOKIES|REQUEST_COOKIES_NAMES|REQUEST_BODY|REQUEST_HEADERS|XML:/*|XML://@*	@rx		0	CRITICAL	application-multi language-java platform-multi attack-rce	Magic bytes Detected, probable java serialization in use
944210	REQUEST-944-APPLICATION-ATTACK-JAVA.conf	306	2	2	ARGS|ARGS_NAMES|REQUEST_COOKIES|REQUEST_COOKIES_NAMES|REQUEST_BODY|REQUEST_HEADERS|XML:/*|XML://@*	@rx		0	CRITICAL	application-multi language-java platform-multi attack-rce	Magic bytes Detected Base64 Encoded, probable java serialization in use
944240	REQUEST-944-APPLICATION-ATTACK-JAVA.conf	331	2	2	ARGS|ARGS_NAMES|REQUEST_COOKIES|REQUEST_COOKIES_NAMES|REQUEST_BODY|REQUEST_HEADERS|XML:/*|XML://@*	@rx	none,lowercase	0	CRITICAL	application-multi language-java platform-multi attack-rce	Remote Command Execution: Java serialization (CVE-2015-4852)
944250	REQUEST-944-APPLICATION-ATTACK-JAVA.conf	355	2	2	ARGS|ARGS_NAMES|REQUEST_COOKIES|REQUEST_COOKIES_NAMES|REQUEST_BODY|REQUEST_HEADERS|XML:/*|XML://@*	@rx	lowercase	0	CRITICAL	application-multi language-java platform-multi attack-rce	Remote Command Execution: Suspicious Java method detected
944260	REQUEST-944-APPLICATION-ATTACK-JAVA.conf	385	2	2	ARGS|ARGS_NAMES|REQUEST_COOKIES|REQUEST_COOKIES_NAMES|REQUEST_BODY|REQUEST_HEADERS|XML:/*|XML://@*	@rx	urlDecodeUni	0	CRITICAL	application-multi language-java platform-multi attack-rce	Remote Command Execution: Malicious class-loading payload
944300	REQUEST-944-APPLICATION-ATTACK-JAVA.conf	425	2	3	ARGS|ARGS_NAMES|REQUEST_COOKIES|REQUEST_COOKIES_NAMES|REQUEST_BODY|REQUEST_HEADERS|XML:/*|XML://@*	@rx	none	0	CRITICAL	application-multi language-java platform-multi attack-rce	Base64 encoded string matched suspicious keyword
944152	REQUEST-944-APPLICATION-ATTACK-JAVA.conf	462	2	4	REQUEST_LINE|ARGS|ARGS_NAMES|REQUEST_COOKIES|REQUEST_COOKIES_NAMES|REQUEST_HEADERS|XML:/*|XML://@*	@rx	none,urlDecodeUni,jsDecode,htmlEntityDecode	0	CRITICAL	application-multi language-java platform-multi attack-rce	Potential Remote Command Execution: Log4j / Log4shell
